"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","0","","guru.qa.tests.simple.SkippedTests","","guru.qa.tests.simple.SkippedTests","someTest1","someTest1()",""
"passed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","6","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest8","someTest8()",""
"skipped","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","0","","guru.qa.tests.simple.SkippedTests","","guru.qa.tests.simple.SkippedTests","someTest","someTest()",""
"failed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","1","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest4","someTest4()",""
"failed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","10","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest3","someTest3()",""
"passed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","1","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest9","someTest9()",""
"passed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","1","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest","someTest()",""
"failed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","1","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest","someTest()",""
"failed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","1","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest5","someTest5()",""
"passed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","13","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest1","someTest1()",""
"failed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","69","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest1","someTest1()",""
"passed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","2","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest7","someTest7()",""
"passed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","1","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest2","someTest2()",""
"failed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","5","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest2","someTest2()",""
"failed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","1","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest6","someTest6()",""
"passed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","1","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest3","someTest3()",""
"passed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","1","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest5","someTest5()",""
"passed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","5","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest6","someTest6()",""
"passed","Wed Oct 25 10:29:34 GMT 2023","Wed Oct 25 10:29:34 GMT 2023","16","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest4","someTest4()",""
