"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","8","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest4","someTest4()",""
"failed","Mon Oct 23 16:38:01 GMT 2023","Mon Oct 23 16:38:01 GMT 2023","8","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest2","someTest2()",""
"passed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","4","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest9","someTest9()",""
"passed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","3","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest7","someTest7()",""
"passed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","2","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest6","someTest6()",""
"failed","Mon Oct 23 16:38:01 GMT 2023","Mon Oct 23 16:38:01 GMT 2023","13","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest3","someTest3()",""
"failed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","1","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest6","someTest6()",""
"passed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","3","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest5","someTest5()",""
"failed","Mon Oct 23 16:38:01 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","7","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest4","someTest4()",""
"skipped","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","0","","guru.qa.tests.simple.SkippedTests","","guru.qa.tests.simple.SkippedTests","someTest1","someTest1()",""
"failed","Mon Oct 23 16:38:01 GMT 2023","Mon Oct 23 16:38:01 GMT 2023","130","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest1","someTest1()",""
"passed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","5","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest1","someTest1()",""
"passed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","1","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest2","someTest2()",""
"failed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","1","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest5","someTest5()",""
"passed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","6","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest","someTest()",""
"passed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","3","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest3","someTest3()",""
"skipped","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","0","","guru.qa.tests.simple.SkippedTests","","guru.qa.tests.simple.SkippedTests","someTest","someTest()",""
"failed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","17","","guru.qa.tests.simple.NegativeTests","","guru.qa.tests.simple.NegativeTests","someTest","someTest()",""
"passed","Mon Oct 23 16:38:02 GMT 2023","Mon Oct 23 16:38:02 GMT 2023","2","","guru.qa.tests.simple.PositiveTests","","guru.qa.tests.simple.PositiveTests","someTest8","someTest8()",""
